,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,image
0,66450,66450,66450,/sddata/projects/Cervical_Cancer_Projects/data/PAVE/000002647.jpg
1,29253,29253,29253,/sddata/projects/Cervical_Cancer_Projects/data/NEVADA/PUBL00031944.jpg
2,41421,41421,41421,/sddata/projects/Cervical_Cancer_Projects/data/NEVADA/PUBL00025370.jpg
3,12241,12241,12241,/sddata/projects/Cervical_Cancer_Projects/data/Itoju_Nigeria/HFLD-00013437.jpg
4,45225,45225,45225,/sddata/projects/Cervical_Cancer_Projects/data/CVT_Low_Qual/I693934_C1.jpg
5,36866,36866,36866,/sddata/projects/Cervical_Cancer_Projects/data/NEVADA/JBKV-00000361.jpg
6,36933,36933,36933,/sddata/projects/Cervical_Cancer_Projects/data/NEVADA/WLFP-00001029.jpg
7,68514,68514,68514,/sddata/projects/Cervical_Cancer_Projects/data/PAVE/000001811.jpg
8,20376,20376,20376,/sddata/projects/Cervical_Cancer_Projects/data/SEED/I691307_C1.jpg
9,58996,58996,58996,/sddata/projects/Cervical_Cancer_Projects/data/PAVE/000015078.jpg
10,29540,29540,29540,/sddata/projects/Cervical_Cancer_Projects/data/NEVADA/PUBL00051525.jpg
11,38296,38296,38296,/sddata/projects/Cervical_Cancer_Projects/data/NEVADA/PUBL00050322.jpg
12,71416,71416,71416,/sddata/projects/Cervical_Cancer_Projects/data/PAVE/000016246.jpg
13,38050,38050,38050,/sddata/projects/Cervical_Cancer_Projects/data/NEVADA/FARH-00000284.jpg
14,16467,16467,16467,/sddata/projects/Cervical_Cancer_Projects/data/Itoju_Nigeria/HFLD-00013382.jpg
15,66410,66410,66410,/sddata/projects/Cervical_Cancer_Projects/data/PAVE/000004545.jpg
16,15755,15755,15755,/sddata/projects/Cervical_Cancer_Projects/data/Itoju_Nigeria/HFLD-00007375.jpg
17,55478,55478,55478,/sddata/projects/Cervical_Cancer_Projects/data/PAVE/000019055.jpg
18,44381,44381,44381,/sddata/projects/Cervical_Cancer_Projects/data/CVT_Low_Qual/I543571_C1.jpg
19,64257,64257,64257,/sddata/projects/Cervical_Cancer_Projects/data/PAVE/000020415.jpg
20,21127,21127,21127,/sddata/projects/Cervical_Cancer_Projects/data/SEED/SBX2296_1.jpg
21,45646,45646,45646,/sddata/projects/Cervical_Cancer_Projects/data/CVT_Low_Qual/I330215_C1.jpg
22,42611,42611,42611,/sddata/projects/Cervical_Cancer_Projects/data/ALTS_NHS_Low_Qual/I236988_C1.jpg
23,43549,43549,43549,/sddata/projects/Cervical_Cancer_Projects/data/CVT_Low_Qual/I272814_C1.jpg
24,28127,28127,28127,/sddata/projects/Cervical_Cancer_Projects/data/NEVADA/PUBL00054345.jpg
25,1118,1118,1118,/sddata/projects/Cervical_Cancer_Projects/data/mobileODT_harvard_masked_images/QLGF-00004901.jpg
26,25581,25581,25581,/sddata/projects/Cervical_Cancer_Projects/data/Itoju_Nigeria_No_DC_Labels/HFLD-00001393.jpg
27,15482,15482,15482,/sddata/projects/Cervical_Cancer_Projects/data/Itoju_Nigeria/HFLD-00011922.jpg
28,59504,59504,59504,/sddata/projects/Cervical_Cancer_Projects/data/PAVE/000014893.jpg
29,59837,59837,59837,/sddata/projects/Cervical_Cancer_Projects/data/PAVE/000010824.jpg
30,52855,52855,52855,/sddata/projects/Cervical_Cancer_Projects/data/PAVE/000018852.jpg
31,17714,17714,17714,/sddata/projects/Cervical_Cancer_Projects/data/SEED/I307499_C1.jpg
32,16954,16954,16954,/sddata/projects/Cervical_Cancer_Projects/data/SEED/I101372_C1.jpg
33,40917,40917,40917,/sddata/projects/Cervical_Cancer_Projects/data/NEVADA/PUBL00046365.jpg
34,51704,51704,51704,/sddata/projects/Cervical_Cancer_Projects/data/PAVE/000002396.jpg
35,59887,59887,59887,/sddata/projects/Cervical_Cancer_Projects/data/PAVE/000019836.jpg
36,66729,66729,66729,/sddata/projects/Cervical_Cancer_Projects/data/PAVE/000014139.jpg
37,39920,39920,39920,/sddata/projects/Cervical_Cancer_Projects/data/NEVADA/PUBL00033953.jpg
38,62944,62944,62944,/sddata/projects/Cervical_Cancer_Projects/data/PAVE/000020325.jpg
